material,label,trial,timestamp,reading
plastic,1,1,1743369913.063967,"[2.459994506835926, -4.710000228881835, 6.049951171874909, -1.59002685546875, -3.0600097656249545, -1.694067382812591, -1.4400146484374545, -2.2200134277343864, 2.1295898437499545, 6.600003051757824, 6.389997863769537, -0.048413085937454525, -4.469999313354492, 0.27000122070313637, -4.5980224609375]"
plastic,1,1,1743369913.166524,"[-0.8399932861328239, -2.009999465942382, -0.726049804687591, 3.510009765625, 1.1400024414062955, 4.355981445312409, 2.0099975585937955, 1.5299865722656136, -0.048388671875045475, 3.600003051757824, -0.059999084472650566, 2.3716308593750455, -4.170000076293945, 3.869992065429699, 1.93603515625]"
plastic,1,1,1743369913.271353,"[-4.740002441406261, -1.7100002288818352, -1.936010742187591, 5.30999755859375, 0.8400146484375455, -9.921972656250091, 3.3600341796875455, 2.2799865722656136, -3.4364501953125455, 1.0500000000000114, -0.36000213623046307, -1.0164306640624545, -5.520000457763672, -4.679995727539051, 0.0]"
plastic,1,1,1743369913.376564,"[-9.240002441406261, -1.259999465942382, -1.693945312500091, 4.260009765625, 2.1899902343750455, -2.178076171875091, 0.6600219726562955, -3.8700073242187614, -2.7103759765625455, -0.44999999999998863, 2.490003967285162, -1.5003173828124545, -2.369999885559082, -3.630007934570301, -0.4840087890625]"
plastic,1,1,1743369913.481948,"[0.5099975585937386, -2.009999465942382, 1.452050781249909, 2.760009765625, 4.5900146484375455, 0.967919921874909, -1.1399658203124545, -4.169995117187511, -5.6144287109375455, -0.5999938964843636, -7.710000610351557, -0.048413085937454525, 5.28000020980835, -0.9299957275390511, -4.35595703125]"
plastic,1,1,1743369913.5837681,"[-2.4900024414062614, 1.8900001525878913, 0.24196777343740905, -2.03997802734375, 2.7899658203125455, 4.355981445312409, -0.3899658203124545, -8.819989013671886, -5.1304199218750455, -3.149996948242176, -0.9600006103515568, 3.8236572265625455, -1.3199996948242188, 4.169995117187511, -4.5980224609375]"
plastic,1,1,1743369913.688674,"[3.3600036621093636, -2.759999465942382, 4.598046874999909, -1.739990234375, 5.7899658203125455, -2.904028320312591, 0.3600341796875455, -1.9199951171875114, -13.116381835937545, 1.8000000000000114, 0.38999786376953693, 0.19365234375004547, -0.7200002670288086, -1.9799987792968636, -6.050048828125]"
plastic,1,1,1743369913.792257,"[2.910006713867176, -5.310000610351562, -2.177954101562591, -5.19000244140625, 1.4399902343750455, -3.629980468750091, 3.8099853515625455, 5.729998779296864, 3.5816162109374545, 5.400006103515636, 0.38999786376953693, 6.9696533203125455, -4.170000076293945, 1.1699951171875114, -4.5980224609375]"
plastic,1,1,1743369913.896592,"[1.7099945068359261, -4.710000228881835, 10.647973632812409, -3.3900146484375, 2.4899780273437955, -8.228002929687591, -4.7400024414062045, 4.830004882812489, 0.9196289062499545, -2.6999999999999886, 4.440000915527349, 0.6776611328125455, 0.48000049591064453, 3.119992065429699, -6.050048828125]"
plastic,1,1,1743369914.0017989,"[-6.839993286132824, -3.2100002288818352, 2.419946289062409, -0.239990234375, -4.2600219726562045, -8.712011718750091, -3.3899658203124545, -1.1699951171875114, -2.9524414062500455, 2.6999938964843864, 4.889997863769537, -5.1303222656249545, -2.8199996948242188, -3.929995727539051, -2.4200439453125]"
