material,motion,trial,timestamp,reading
wood,tap,1,1742113476.9095669,"[np.float64(117.9000015258789), np.float64(-35.400001525878906), np.float64(-1617.5279541015625), np.float64(464.1000061035156), np.float64(-821.8500366210938), np.float64(-1533.0699462890625), np.float64(-815.7000122070312), np.float64(487.20001220703125), np.float64(-1564.530029296875), np.float64(-66.45000457763672), np.float64(-12.15000057220459), np.float64(-1446.91796875), np.float64(29.850000381469727), np.float64(150.75), np.float64(-1672.946044921875)]"
wood,tap,1,1742113477.013103,"[np.float64(120.30000305175781), np.float64(-32.70000076293945), np.float64(-1610.510009765625), np.float64(459.7500305175781), np.float64(-825.9000244140625), np.float64(-1533.31201171875), np.float64(-820.050048828125), np.float64(488.70001220703125), np.float64(-1553.6400146484375), np.float64(-69.45000457763672), np.float64(-11.25), np.float64(-1438.2059326171875), np.float64(29.100000381469727), np.float64(144.3000030517578), np.float64(-1666.6539306640625)]"
wood,tap,1,1742113477.118379,"[np.float64(118.6500015258789), np.float64(-36.45000076293945), np.float64(-1614.1400146484375), np.float64(456.45001220703125), np.float64(-819.4500122070312), np.float64(-1536.4580078125), np.float64(-816.9000244140625), np.float64(490.0500183105469), np.float64(-1562.1099853515625), np.float64(-64.6500015258789), np.float64(-19.200000762939453), np.float64(-1446.4339599609375), np.float64(29.850000381469727), np.float64(144.90000915527344), np.float64(-1671.7359619140625)]"
wood,tap,1,1742113477.223104,"[np.float64(121.6500015258789), np.float64(-32.70000076293945), np.float64(-1621.157958984375), np.float64(461.8500061035156), np.float64(-831.1500244140625), np.float64(-1537.1839599609375), np.float64(-814.9500122070312), np.float64(489.9000244140625), np.float64(-1559.9320068359375), np.float64(-63.900001525878906), np.float64(-16.950000762939453), np.float64(-1442.0780029296875), np.float64(31.80000114440918), np.float64(146.25), np.float64(-1678.27001953125)]"
wood,tap,1,1742113477.327395,"[np.float64(122.25000762939453), np.float64(-37.80000305175781), np.float64(-1616.0760498046875), np.float64(462.6000061035156), np.float64(-819.0000610351562), np.float64(-1538.1519775390625), np.float64(-815.8500366210938), np.float64(490.0500183105469), np.float64(-1565.0140380859375), np.float64(-65.10000610351562), np.float64(-9.90000057220459), np.float64(-1446.91796875), np.float64(28.200000762939453), np.float64(139.5), np.float64(-1676.092041015625)]"
wood,tap,1,1742113477.427723,"[np.float64(124.20000457763672), np.float64(-38.70000076293945), np.float64(-1614.3819580078125), np.float64(466.0500183105469), np.float64(-817.050048828125), np.float64(-1529.9239501953125), np.float64(-819.7500610351562), np.float64(491.1000061035156), np.float64(-1554.6080322265625), np.float64(-72.1500015258789), np.float64(-18.900001525878906), np.float64(-1440.6259765625), np.float64(34.5), np.float64(149.10000610351562), np.float64(-1679.7220458984375)]"
wood,tap,1,1742113477.530171,"[np.float64(118.50000762939453), np.float64(-34.80000305175781), np.float64(-1618.97998046875), np.float64(456.6000061035156), np.float64(-821.4000244140625), np.float64(-1537.426025390625), np.float64(-814.5000610351562), np.float64(483.45001220703125), np.float64(-1560.416015625), np.float64(-67.95000457763672), np.float64(-16.950000762939453), np.float64(-1443.530029296875), np.float64(31.650001525878906), np.float64(139.95001220703125), np.float64(-1675.1240234375)]"
wood,tap,1,1742113477.6353018,"[np.float64(125.10000610351562), np.float64(-34.80000305175781), np.float64(-1623.093994140625), np.float64(459.0000305175781), np.float64(-821.8500366210938), np.float64(-1536.699951171875), np.float64(-815.4000244140625), np.float64(483.0000305175781), np.float64(-1566.4659423828125), np.float64(-65.4000015258789), np.float64(-14.250000953674316), np.float64(-1447.64404296875), np.float64(30.000001907348633), np.float64(145.95001220703125), np.float64(-1679.47998046875)]"
wood,tap,1,1742113477.738074,"[np.float64(118.35000610351562), np.float64(-33.60000228881836), np.float64(-1610.510009765625), np.float64(460.20001220703125), np.float64(-818.4000244140625), np.float64(-1533.31201171875), np.float64(-812.4000244140625), np.float64(482.4000244140625), np.float64(-1558.47998046875), np.float64(-68.25), np.float64(-13.050000190734863), np.float64(-1443.530029296875), np.float64(30.450000762939453), np.float64(142.65000915527344), np.float64(-1687.7080078125)]"
wood,tap,1,1742113477.843116,"[np.float64(117.75000762939453), np.float64(-37.05000305175781), np.float64(-1623.3359375), np.float64(459.6000061035156), np.float64(-827.2500610351562), np.float64(-1538.1519775390625), np.float64(-818.7000122070312), np.float64(485.2500305175781), np.float64(-1562.35205078125), np.float64(-65.4000015258789), np.float64(-18.900001525878906), np.float64(-1446.1920166015625), np.float64(27.450000762939453), np.float64(144.3000030517578), np.float64(-1678.0279541015625)]"
