material,label,trial,timestamp,reading
plastic,1,1,1743378879.8425741,"[0.6300003051757841, 6.690001296997071, 5.566015625000091, 1.3199890136718864, 2.0700195312499545, 4.646337890625091, 0.989990234375, 3.7500122070312614, -4.936743164062591, 1.4399963378906193, -1.9199981689453125, 3.14599609375, -1.6799995422363274, -4.139990234375006, -8.760424804687545]"
plastic,1,1,1743378879.947912,"[2.4299957275390653, 0.9900005340576179, 3.388037109375091, 1.1699951171875114, -3.0300170898437955, 4.888403320312591, 1.739990234375, -2.0999938964843636, 2.081201171874909, 2.489999389648432, -0.5699996948242188, -1.93603515625, -2.1300003051757805, -4.139990234375006, -8.760424804687545]"
plastic,1,1,1743378880.048909,"[-2.369999694824216, 3.8399990081787116, 0.726049804687591, -1.5299865722656136, -0.030017089843795475, -3.097558593749909, -0.96002197265625, 0.5999877929687614, -4.452856445312591, 1.890000915527338, 0.6300010681152344, 8.22802734375, 0.5700004577636726, -2.3400024414062557, 5.0336425781249545]"
plastic,1,1,1743378880.154148,"[-0.27000122070312216, -4.109999847412109, -10.406030273437409, 1.7700012207031364, 2.5199707031249545, -0.19362792968740905, 0.53997802734375, -1.0500061035156136, -5.904760742187591, 2.7900024414062443, 0.4799995422363281, 3.8719482421875, 0.41999893188476634, -3.539999389648443, -4.8883544921875455]"
plastic,1,1,1743378880.259329,"[0.9299957275390653, -3.2100002288818352, 6.534033203125091, -1.0800048828124886, -2.1299926757812955, -2.855615234374909, -3.510009765625, 0.44999389648438637, -4.936743164062591, -2.9100021362304744, -0.4199981689453125, -5.323974609375, -2.1300003051757805, 8.01000366210937, -1.9844238281250455]"
plastic,1,1,1743378880.3615549,"[-0.7199981689453097, -0.06000061035156179, -1.209985351562409, 4.319989013671886, 1.1699951171874545, 4.404394531250091, -1.55999755859375, -2.9999877929687386, 0.14516601562490905, 2.489999389648432, 1.6800003051757812, 1.4520263671875, -2.5800010681152337, -2.4899963378906307, 2.3716552734374545]"
plastic,1,1,1743378880.461994,"[-3.869999694824216, -2.9099990844726555, 8.228002929687591, -0.02998657226561363, -0.3300048828125455, 5.130346679687591, -2.46002197265625, 3.3000000000000114, -1.306860351562591, 3.390000915527338, 4.229999542236328, -7.9859619140625, 1.470000076293946, -3.9899963378906307, 3.3395507812499545]"
plastic,1,1,1743378880.5660422,"[-0.8699996948242159, -0.06000061035156179, -6.292016601562409, -3.3300048828124886, -3.1799804687500455, -6.485620117187409, 5.6400146484375, -1.9499999999999886, 0.871240234374909, -2.1600021362304744, 3.779998779296875, 1.4520263671875, 8.36999969482422, -0.5399993896484432, 1.4036376953124545]"
plastic,1,1,1743378880.6692212,"[0.3299972534179716, -1.8599998474121087, -10.406030273437409, -1.5299865722656136, -0.3300048828125455, -1.645654296874909, -0.96002197265625, -2.6999999999999886, -2.758764648437591, 2.1899963378906193, 1.3800010681152344, 0.2420654296875, 0.41999893188476634, -2.3400024414062557, -3.6783935546875455]"
plastic,1,1,1743378880.773095,"[-0.7199981689453097, 2.7899997711181648, -0.48403320312490905, -1.9799987792968636, 2.9699829101562045, 0.29038085937509095, 1.8900146484375, -0.9000122070312386, 2.081201171874909, 4.890000915527338, -2.970001220703125, -1.4520263671875, 2.970000076293946, -4.289999389648443, 3.5816162109374545]"
